Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-09-02T02:25:40.620Z","Usage-based","claude-4-sonnet","No","9711","210","1294791","2893","1307605","0.47"
"2025-09-02T02:21:04.632Z","Usage-based","claude-4-sonnet","No","7723","2379","1390005","2462","1402569","0.49"
"2025-09-02T02:17:28.754Z","Usage-based","claude-4-sonnet","No","11509","174","1336828","2864","1351375","0.49"
"2025-09-02T02:07:43.888Z","Usage-based","claude-4-sonnet","No","68827","114007","2314547","35089","2532470","1.31"
"2025-09-02T02:06:27.437Z","Usage-based","claude-4-sonnet","No","8900","138","637831","1144","648013","0.24"
"2025-09-02T02:04:06.864Z","Usage-based","claude-4-sonnet","No","5100","169","304439","745","310453","0.12"
"2025-09-02T02:01:31.710Z","Usage-based","claude-4-sonnet","No","5809","117","1338443","2907","1347276","0.47"
"2025-09-02T01:58:48.243Z","Usage-based","claude-4-sonnet","No","11437","154","1983416","2791","1997798","0.68"
"2025-09-02T01:57:16.569Z","Usage-based","claude-4-sonnet","No","6389","120","522503","1216","530228","0.20"
"2025-09-02T01:51:08.874Z","Usage-based","claude-4-sonnet","No","128207","124","1500653","3555","1632539","0.98"
"2025-09-02T01:37:20.728Z","Errored, Not Charged","claude-4-sonnet","No","4381","114","240265","630","245390","Included"
"2025-09-02T01:36:40.187Z","Usage-based","claude-4-sonnet","No","2018","182","117798","448","120446","0.05"
"2025-09-02T01:35:04.867Z","Usage-based","claude-4-sonnet","No","117798","1622","0","393","119813","0.45"
"2025-09-02T01:29:26.921Z","Usage-based","claude-4-sonnet","No","5309","137","339986","960","346392","0.14"
"2025-09-02T01:26:32.670Z","Usage-based","claude-4-sonnet","No","8395","441","1298757","3662","1311255","0.48"
"2025-09-02T01:24:26.715Z","Usage-based","claude-4-sonnet","No","7293","424","501122","2045","510884","0.21"
"2025-09-02T01:20:07.983Z","Usage-based","claude-4-sonnet","No","23902","121","2337645","8294","2369962","0.92"
"2025-09-02T01:17:41.056Z","Usage-based","claude-4-sonnet","No","8537","126","480936","3060","492659","0.22"
"2025-09-02T01:14:39.376Z","Usage-based","claude-4-sonnet","No","3445","136","496331","1829","501741","0.19"
"2025-09-02T01:12:43.737Z","Usage-based","claude-4-sonnet","No","9192","117","502411","1815","513535","0.21"
"2025-09-02T01:06:49.310Z","Usage-based","claude-4-sonnet","No","51105","116000","698100","16102","881307","0.52"
"2025-09-02T01:01:11.076Z","Usage-based","claude-4-sonnet","No","8668","248","1627479","3156","1639551","0.57"
"2025-09-02T00:57:37.645Z","Usage-based","claude-4-sonnet","No","8782","107","1830027","4473","1843389","0.65"
"2025-09-02T00:56:37.391Z","Usage-based","claude-4-sonnet","No","5361","206","287515","847","293929","0.12"
"2025-09-02T00:55:06.276Z","Usage-based","claude-4-sonnet","No","1383","144","285975","574","288076","0.10"
"2025-09-02T00:52:47.559Z","Usage-based","claude-4-sonnet","No","8596","186","974880","1903","985565","0.35"
"2025-09-02T00:46:23.238Z","Usage-based","claude-4-sonnet","No","6205","306","2229420","2811","2238742","0.74"
"2025-09-02T00:39:20.180Z","Usage-based","claude-4-sonnet","No","127978","166","3249216","7642","3385002","1.57"
"2025-09-02T00:29:30.132Z","Usage-based","claude-4-sonnet","No","20913","18","4209786","9016","4239733","1.48"
"2025-09-02T00:28:24.521Z","Usage-based","claude-4-sonnet","No","2633","23","431766","1611","436033","0.16"
